/begin_header
/start_date=1930-01-01
/end_date=2024-06-07
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2024-06-07 15:45:53 GMT
! Date archived: 2000-01-01 to 2024-06-07
! Water depth: 0.0 to 10000
! Data sources: val_source_moby
! Exclusions:
!                                                             , MODIS-Aqua          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2024-04-25 02:21:37 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Error (MAE) , MODIS-Aqua Range    , In situ Range      
!  rrs412       , 776 ,   0.00045 ,                   0.00104 , 0.007754 - 0.01760  , 0.007513 - 0.01797 
!  rrs443       , 776 ,   0.00037 ,                   0.00076 , 0.006130 - 0.01310  , 0.005991 - 0.01240 
!  rrs488       , 776 ,   0.00025 ,                   0.00049 , 0.004678 - 0.00838  , 0.004099 - 0.00741 
!  rrs531       , 776 ,   0.00009 ,                   0.00023 , 0.001321 - 0.00335  , 0.001357 - 0.00254 
!  rrs547       , 776 ,   0.00013 ,                   0.00021 , 0.000862 - 0.00253  , 0.000947 - 0.00187 
!  rrs555       , 776 ,  -0.00002 ,                   0.00016 , 0.000665 - 0.00210  , 0.000842 - 0.00172 
!  rrs667       , 776 ,   0.00000 ,                   0.00005 , -0.000217 - 0.00037 , 0.000041 - 0.00025 
!  rrs678       , 776 ,   0.00000 ,                   0.00005 , -0.000190 - 0.00036 , 0.000046 - 0.00025 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_rrs412,aqua_rrs443,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs667,aqua_rrs678,insitu_rrs412,insitu_rrs443,insitu_rrs488,insitu_rrs531,insitu_rrs547,insitu_rrs555,insitu_rrs667,insitu_rrs678,insitu_data_source
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,unitless
/end_header
593139,20.81110000,-157.18315300,2014-09-14 23:36:04,moby256,A2014258001500.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593139_B5.tgz,0.00000000,25,2613,33.21,50.30,0.009,1.170,0.01507500,0.01084000,0.00685300,0.00237500,0.00178100,0.00147500,0.00014000,0.00012900,0.01480506,0.01046260,0.00669735,0.00221729,0.00154840,0.00140832,0.00010830,0.00010952,moby
593151,20.81015000,-157.18331800,2014-09-15 23:36:04,moby256,A2014258232000.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593151_B5.tgz,0.00000000,25,-693,23.34,49.51,0.019,2.807,0.01490800,0.01087900,0.00673200,0.00217400,0.00158600,0.00125500,0.00009500,0.00009700,0.01466807,0.01039001,0.00637393,0.00220455,0.00154010,0.00140176,0.00010905,0.00010950,moby
593163,20.80978800,-157.18921500,2014-09-16 23:36:05,moby256,A2014260000500.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593163_B5.tgz,0.00000000,25,1874,31.32,32.65,0.008,3.999,0.01548900,0.01115500,0.00692500,0.00233800,0.00174700,0.00143400,0.00013100,0.00013600,0.01505510,0.01067617,0.00673820,0.00218347,0.00152060,0.00138214,0.00010512,0.00010628,moby
593217,20.81287800,-157.19986200,2014-09-24 23:36:09,moby256,A2014267231500.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593217_B5.tgz,0.00000000,25,-1061,25.76,55.92,0.026,6.883,0.01322900,0.00975200,0.00614700,0.00191100,0.00135500,0.00110500,0.00008300,0.00011400,0.01365992,0.00978459,0.00636713,0.00210821,0.00146840,0.00133429,0.00010280,0.00010469,moby
593235,20.82564300,-157.19109000,2014-10-07 23:36:15,moby256,A2014281002500.L2_LAC.R0000031840_13883_593235.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2965,41.38,56.52,0.018,0.968,0.01476700,0.01083300,0.00695400,0.00262600,0.00193400,0.00153100,0.00015200,0.00010000,0.01272375,0.00937450,0.00605203,0.00213042,0.00148370,0.00134826,0.00010811,0.00011266,moby
593241,20.81948300,-157.20154800,2014-10-09 22:31:22,moby256,A2014283001000.L2_LAC.R0000031840_13883_593241.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,6122,39.75,42.27,0.010,7.220,0.01416100,0.01036600,0.00664600,0.00224400,0.00165800,0.00132000,0.00010700,0.00011500,0.01331339,0.00968367,0.00609995,0.00211740,0.00147243,0.00133852,0.00010916,0.00011203,moby
593253,20.82312500,-157.19888700,2014-10-11 23:36:17,moby256,A2014285000000.L2_LAC.R0000031840_13883_593253.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,1493,38.27,20.83,0.016,7.825,0.01367900,0.01019700,0.00676000,0.00248500,0.00188100,0.00154500,0.00022700,0.00024200,0.01262870,0.00927211,0.00619701,0.00210794,0.00147373,0.00134127,0.00010865,0.00011314,moby
593271,20.81824700,-157.18089500,2014-10-15 23:36:19,moby256,A2014288233500.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593271_B5.tgz,0.00000000,25,24,35.84,31.85,0.020,2.661,0.01182900,0.00891600,0.00603400,0.00217700,0.00162900,0.00128500,0.00012000,0.00014300,0.01174355,0.00858130,0.00597009,0.00215281,0.00151766,0.00138369,0.00011223,0.00012046,moby
